fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Jeremiah Wells,175.3,188.0,Switch,"Oct 30, 1986",13,4,1,2.35,0.46,1.28,0.48,3.06,0.46,0.5,1.3
Jeremy Stephens,175.3,180.3,Orthodox,"May 25, 1986",28,20,0,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4
Jesse Butler,177.8,185.4,Orthodox,"May 24, 1992",12,6,0,2.02,0.34,4.62,0.39,0.0,0.0,0.0,0.0
Jessica Andrade,154.9,157.5,Orthodox,"Sep 25, 1991",26,15,0,6.37,0.48,5.58,0.54,2.1,0.54,0.75,0.3
Jessica Penne,165.1,170.2,Orthodox,"Jan 30, 1983",14,9,0,2.63,0.33,5.05,0.45,1.29,0.18,0.36,0.5
Jessica-Rose Clark,165.1,162.6,Orthodox,"Nov 28, 1987",11,9,0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3
Jesus Aguilar,162.6,157.5,Orthodox,"Mar 13, 1996",12,4,0,2.54,0.38,2.29,0.61,1.52,0.29,0.45,1.1
Jhonata Diniz,193.0,200.7,Orthodox,"Jun 23, 1991",9,2,0,3.89,0.56,3.62,0.56,0.0,0.0,0.7,0.0
Ji Yeon Kim,170.2,182.9,Orthodox,"Oct 18, 1989",9,7,2,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1
Jim Miller,172.7,180.3,Southpaw,"Aug 30, 1983",38,19,0,2.92,0.42,3.44,0.56,1.5,0.45,0.48,1.7
Jimmy Crute,188.0,188.0,Orthodox,"Mar 04, 1996",14,4,2,4.15,0.52,3.65,0.42,4.39,0.52,0.58,2.0
Jimmy Flick,170.2,172.7,Orthodox,"Sep 07, 1990",17,9,0,1.67,0.5,4.7,0.43,2.36,0.33,0.0,3.5
Jinh Yu Frey,160.0,165.1,Southpaw,"May 20, 1985",11,10,0,2.97,0.43,4.23,0.52,1.02,0.36,0.9,0.3
Jiri Prochazka,190.5,203.2,Orthodox,"Oct 14, 1992",32,6,1,5.61,0.55,5.67,0.45,0.49,0.6,0.68,0.2
Joanderson Brito,172.7,182.9,Orthodox,"Feb 11, 1995",18,5,1,2.43,0.51,2.32,0.44,3.38,0.67,0.47,1.1
Joanne Wood,167.6,165.1,Orthodox,"Dec 23, 1985",17,8,0,7.1,0.51,4.89,0.51,1.52,0.55,0.58,0.3
Joaquim Silva,172.7,175.3,Southpaw,"Feb 05, 1989",14,6,0,3.43,0.43,4.17,0.53,0.34,0.5,0.7,0.8
Joaquin Buckley,177.8,193.0,Southpaw,"Apr 27, 1994",21,7,0,3.88,0.36,2.93,0.59,1.54,0.45,0.72,0.1
Joe Pyfer,188.0,190.5,Orthodox,"Sep 17, 1996",16,3,0,3.52,0.44,3.22,0.52,1.45,0.3,0.62,0.9
Joe Solecki,175.3,177.8,Orthodox,"Aug 27, 1993",13,6,0,1.97,0.53,1.85,0.5,2.06,0.48,0.14,1.4
Joel Alvarez,190.5,195.6,Orthodox,"Mar 02, 1993",23,3,0,4.78,0.55,3.07,0.54,0.19,0.33,0.47,1.1
John Castaneda,167.6,180.3,Switch,"Dec 18, 1991",21,8,1,4.95,0.51,5.07,0.54,1.49,0.37,0.75,0.1
John Makdessi,172.7,172.7,Orthodox,"May 03, 1985",18,9,0,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0
John Yannis,170.2,177.8,Southpaw,"Jul 07, 1994",10,4,0,3.3,0.53,1.26,0.74,0.0,0.0,0.66,0.0
Johnny Munoz,175.3,180.3,Orthodox,"Feb 16, 1993",12,4,0,2.44,0.36,2.66,0.55,2.4,0.25,0.45,1.8
Johnny Walker,198.1,208.3,Orthodox,"Mar 30, 1992",22,10,0,3.9,0.54,2.99,0.46,0.36,0.5,0.57,0.7
Jon Jones,193.0,213.4,Orthodox,"Jul 19, 1987",28,1,0,4.38,0.58,2.24,0.64,1.89,0.45,0.95,0.5
Jonathan Martinez,172.7,177.8,Southpaw,"Apr 20, 1994",19,6,0,4.44,0.49,4.09,0.56,0.38,0.35,0.68,0.1
Jonathan Micallef,182.9,195.6,Southpaw,"Mar 05, 1999",9,1,0,3.96,0.41,4.22,0.56,1.13,0.66,0.75,1.1
Jonathan Pearce,182.9,180.3,Switch,"May 01, 1992",14,7,0,5.12,0.54,3.32,0.54,5.02,0.5,0.55,0.8
Jonny Parsons,175.3,175.3,Orthodox,"Sep 06, 1991",9,3,0,4.65,0.44,4.89,0.6,0.0,0.0,0.66,0.0
JooSang Yoo,170.2,180.3,Orthodox,"Jan 21, 1994",9,1,0,6.36,0.58,4.99,0.56,0.0,0.0,0.5,0.0
Jordan Leavitt,175.3,180.3,Southpaw,"Jun 02, 1995",13,3,0,2.21,0.57,1.59,0.58,3.15,0.34,0.3,1.1
Jordan Vucenic,177.8,185.4,Orthodox,"Mar 02, 1996",13,4,0,2.11,0.45,1.9,0.58,0.63,0.14,0.44,0.0
Jordan Wright,188.0,195.6,Orthodox,"Oct 07, 1991",12,5,0,4.1,0.56,6.03,0.31,2.09,0.45,1.0,0.4
Jorge Masvidal,180.3,188.0,Orthodox,"Nov 12, 1984",35,17,0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3
Jose Aldo,170.2,177.8,Orthodox,"Sep 09, 1986",32,10,0,3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1
Jose Daniel Medina,182.9,188.0,Orthodox,"May 17, 1991",11,7,0,2.13,0.36,5.34,0.46,0.39,0.33,0.27,0.0
Jose Delgado,180.3,188.0,Switch,"Apr 21, 1998",11,2,0,7.48,0.54,4.95,0.5,1.51,0.4,0.5,0.0
Jose Johnson,182.9,180.3,Orthodox,"May 20, 1995",16,10,0,2.27,0.57,1.61,0.53,0.69,0.6,0.41,0.7
Jose Ochoa,170.2,170.2,Southpaw,"Dec 31, 2000",8,2,0,3.01,0.37,2.33,0.6,0.43,0.5,0.59,1.3
Josefine Knutsson,160.0,152.4,Orthodox,"Jan 16, 1996",8,1,0,4.24,0.51,2.13,0.54,1.6,0.72,0.35,0.0
Joselyne Edwards,172.7,177.8,Orthodox,"Sep 29, 1995",17,6,0,4.61,0.53,3.24,0.5,1.43,0.4,0.61,0.6
Joseph Holmes,193.0,203.2,Orthodox,"Jul 04, 1995",8,4,0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8
Joseph Morales,167.6,175.3,Switch,"Aug 22, 1994",15,2,0,2.0,0.4,2.05,0.57,1.14,0.42,0.26,3.0
Josh Culibao,177.8,185.4,Orthodox,"May 24, 1994",11,4,1,3.41,0.44,3.04,0.59,0.0,0.0,0.65,0.3
Josh Emmett,167.6,177.8,Orthodox,"Mar 04, 1985",19,7,0,3.67,0.35,4.52,0.59,1.07,0.36,0.43,0.1
Josh Fremd,193.0,193.0,Orthodox,"Jan 15, 1994",11,6,0,2.52,0.44,2.23,0.47,0.66,0.25,0.3,1.1
Josh Hokit,185.4,185.4,Orthodox,"Nov 12, 1997",9,0,0,9.25,0.62,6.81,0.44,3.89,0.43,0.75,0.0
Josh Parisian,193.0,200.7,Orthodox,"Jun 28, 1989",15,8,0,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2
Josh Quinlan,182.9,182.9,Orthodox,"Feb 06, 1993",6,3,0,3.57,0.42,6.38,0.53,0.34,0.11,0.71,0.0
Joshua Van,165.1,165.1,Orthodox,"Oct 10, 2001",16,2,0,8.84,0.56,6.39,0.57,0.84,0.63,0.81,0.0
Josiah Harrell,170.2,172.7,Southpaw,"Nov 13, 1998",11,1,0,2.32,0.5,10.94,0.29,0.0,0.0,0.0,0.0
Josiane Nunes,157.5,170.2,Southpaw,"Dec 23, 1993",10,4,0,5.65,0.43,5.76,0.51,0.0,0.0,0.58,0.0
Josias Musasa,172.7,188.0,Southpaw,"Oct 10, 1998",8,2,0,3.19,0.45,4.39,0.36,0.9,0.5,0.81,0.5
Journey Newson,165.1,170.2,Orthodox,"Mar 07, 1989",10,5,0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3
Juancamilo Ronderos,160.0,162.6,Southpaw,"Feb 17, 1995",4,2,0,2.18,0.3,2.18,0.63,2.72,0.33,0.0,0.0
Julia Avila,170.2,172.7,Orthodox,"May 11, 1988",9,4,0,2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2
Julia Polastri,157.5,162.6,Orthodox,"Mar 05, 1998",14,5,0,6.4,0.54,5.4,0.57,0.73,0.8,0.6,0.4
Julian Erosa,185.4,188.0,Southpaw,"Jul 31, 1989",31,14,0,6.18,0.48,6.31,0.48,1.73,0.43,0.61,0.7
Julian Marquez,188.0,182.9,Orthodox,"May 08, 1990",9,6,0,5.06,0.45,5.35,0.5,0.0,0.0,0.54,2.6
Juliana Miller,170.2,167.6,Orthodox,"May 07, 1996",5,4,0,2.65,0.39,4.14,0.44,2.16,0.29,0.44,1.2
Julianna Pena,167.6,175.3,Orthodox,"Aug 19, 1989",13,6,0,3.1,0.44,2.56,0.57,1.7,0.54,0.24,0.8
Julija Stoliarenko,170.2,167.6,Orthodox,"Apr 08, 1993",11,10,2,2.74,0.38,4.45,0.46,0.78,0.2,0.54,1.4
Julio Arce,170.2,177.8,Southpaw,"Oct 27, 1989",19,6,0,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3
Julius Walker,193.0,198.1,Orthodox,"Jul 16, 1999",7,2,0,3.73,0.53,4.03,0.43,4.09,0.38,1.0,0.0
JunYong Park,177.8,185.4,Orthodox,"Feb 27, 1991",19,7,0,4.64,0.51,3.82,0.51,1.69,0.42,0.54,0.8
Junior Tafa,190.5,190.5,Orthodox,"Sep 21, 1996",6,5,0,3.41,0.51,2.55,0.51,0.0,0.0,0.7,0.0
Justin Gaethje,180.3,177.8,Orthodox,"Nov 14, 1988",27,5,0,6.48,0.58,7.05,0.51,0.33,0.4,0.74,0.0
Justin Tafa,182.9,188.0,Southpaw,"Dec 13, 1993",7,5,0,4.05,0.54,5.11,0.47,0.0,0.0,0.53,0.0
Kaan Ofli,170.2,167.6,Orthodox,"Jun 19, 1993",14,4,1,2.33,0.45,3.34,0.54,0.38,0.07,0.0,0.4
Kai Asakura,172.7,175.3,Orthodox,"Oct 31, 1993",21,6,0,2.27,0.32,3.53,0.52,0.0,0.0,0.5,0.0
Kai Kara-France,162.6,175.3,Orthodox,"Mar 26, 1993",25,12,0,4.46,0.4,3.24,0.64,0.56,0.3,0.83,0.0
Kamaru Usman,182.9,193.0,Switch,"May 11, 1987",21,4,0,4.16,0.51,2.67,0.55,2.79,0.44,0.89,0.1
Kamuela Kirk,177.8,190.5,Switch,"Apr 13, 1994",12,6,0,3.22,0.5,5.87,0.4,1.5,0.26,0.47,1.2
Kanako Murata,154.9,157.5,Orthodox,"Aug 10, 1993",12,3,0,2.15,0.56,2.4,0.53,3.38,0.56,1.0,0.8
Karine Silva,165.1,170.2,Orthodox,"Dec 02, 1993",19,7,0,2.24,0.38,2.74,0.52,1.93,0.5,0.26,1.6
Karl Williams,190.5,200.7,Orthodox,"Jan 06, 1990",10,2,0,2.68,0.48,2.15,0.55,4.2,0.48,1.0,0.2
Karol Rosa,165.1,170.2,Orthodox,"Dec 30, 1994",19,7,0,5.88,0.56,4.59,0.49,1.17,0.48,0.7,0.2
Karolina Kowalkiewicz,160.0,162.6,Orthodox,"Oct 15, 1985",16,10,0,5.54,0.42,5.77,0.56,0.36,0.23,0.74,0.2
Katlyn Cerminara,175.3,172.7,Orthodox,"Dec 28, 1988",18,6,0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3
Kaue Fernandes,175.3,185.4,Orthodox,"Mar 17, 1995",11,2,0,4.28,0.55,1.42,0.62,1.18,1.0,0.76,0.0
Kayla Harrison,172.7,167.6,Southpaw,"Jul 02, 1990",19,1,0,4.29,0.62,1.1,0.66,2.84,0.37,1.0,0.9
Kaynan Kruschewsky,182.9,185.4,Orthodox,"Apr 04, 1991",15,3,0,5.67,0.5,5.71,0.46,2.74,1.0,0.75,2.1
Keiichiro Nakamura,177.8,177.8,Southpaw,"Dec 02, 1998",8,1,0,4.48,0.41,4.28,0.63,0.0,0.0,0.78,0.0
Kelvin Gastelum,175.3,180.3,Southpaw,"Oct 24, 1991",21,11,0,3.65,0.42,3.52,0.57,1.04,0.35,0.6,0.1
Kennedy Nzechukwu,195.6,210.8,Southpaw,"Jun 13, 1992",14,6,1,4.96,0.46,4.58,0.51,0.5,0.45,0.8,0.2
Ketlen Souza,160.0,160.0,Orthodox,"Aug 18, 1994",16,6,0,4.01,0.56,3.86,0.52,0.46,0.13,0.53,0.2
Ketlen Vieira,172.7,172.7,Orthodox,"Aug 26, 1991",15,5,0,2.76,0.4,3.75,0.5,1.33,0.44,0.9,0.6
Kevin Borjas,165.1,172.7,Orthodox,"Dec 06, 1997",10,5,0,3.96,0.44,5.64,0.49,0.0,0.0,0.7,0.0
Kevin Christian,200.7,203.2,Orthodox,"Jan 21, 1995",9,3,0,1.64,0.56,2.65,0.44,0.0,0.0,0.5,2.3
Kevin Holland,190.5,205.7,Orthodox,"Nov 05, 1992",29,15,0,4.24,0.49,3.21,0.5,0.79,0.36,0.57,0.6
Kevin Jousset,188.0,190.5,Orthodox,"May 02, 1993",10,4,0,6.61,0.51,6.49,0.5,0.69,0.4,1.0,0.3
Kevin Lee,175.3,195.6,Orthodox,"Sep 04, 1992",18,8,0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8
Kevin Vallejos,170.2,172.7,Switch,"Dec 08, 2001",18,1,0,6.12,0.48,4.41,0.57,0.66,0.28,0.84,0.0
Khalil Rountree Jr.,185.4,193.0,Southpaw,"Feb 26, 1990",15,7,0,3.88,0.4,4.33,0.49,0.0,0.0,0.58,0.1
Khamzat Chimaev,188.0,190.5,Orthodox,"May 01, 1994",15,0,0,4.04,0.6,2.32,0.43,5.29,0.55,0.85,1.8
Khaos Williams,182.9,195.6,Orthodox,"Mar 30, 1994",15,5,0,4.94,0.39,5.39,0.4,0.0,0.0,0.51,0.0
Khusein Askhabov,172.7,175.3,Orthodox,"Feb 13, 1995",23,1,0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0
Kiefer Crosbie,180.3,177.8,Switch,"Apr 05, 1990",10,6,0,4.46,0.64,5.8,0.46,0.0,0.0,0.4,0.0
King Green,177.8,180.3,Orthodox,"Sep 09, 1986",34,17,1,6.38,0.53,3.58,0.62,1.31,0.42,0.72,0.3
Kiru Sahota,177.8,185.4,Orthodox,"May 28, 1995",12,3,0,4.05,0.52,2.64,0.41,0.92,0.33,0.5,0.5
Klaudia Sygula,172.7,175.3,Orthodox,"Dec 30, 1998",8,2,0,7.27,0.48,5.5,0.56,0.41,0.12,0.4,0.0
Kleydson Rodrigues,165.1,170.2,Orthodox,"Oct 22, 1995",8,4,0,4.58,0.57,2.29,0.53,0.6,0.22,0.53,0.6
Kody Steele,175.3,180.3,Orthodox,"Apr 21, 1995",7,1,0,4.44,0.32,7.17,0.52,0.62,0.14,1.0,0.0
Kris Moutinho,170.2,172.7,Southpaw,"Aug 09, 1992",14,8,0,3.35,0.33,9.36,0.3,0.0,0.0,0.3,0.0
Kron Gracie,175.3,177.8,Southpaw,"Jul 11, 1988",5,3,0,2.95,0.42,5.73,0.51,0.35,0.25,0.0,0.7
Kurt Holobaugh,180.3,177.8,Orthodox,"Sep 08, 1986",22,10,0,4.58,0.44,4.24,0.49,0.65,0.33,0.38,0.8
Kurtis Campbell,175.3,182.9,Switch,"Jul 29, 2002",8,1,0,3.5,0.48,2.63,0.51,8.76,0.4,0.5,0.0
Kyle Daukaus,188.0,193.0,Southpaw,"Feb 27, 1993",17,4,0,3.32,0.53,2.9,0.42,2.08,0.25,0.82,2.1
Kyle Nelson,180.3,180.3,Switch,"Apr 20, 1991",17,7,1,3.6,0.45,4.58,0.53,1.18,0.23,0.66,0.5
Kyle Prepolec,177.8,177.8,Southpaw,"Aug 30, 1989",18,10,0,3.25,0.34,5.69,0.48,0.0,0.0,0.45,0.0
Kyler Phillips,172.7,182.9,Orthodox,"Jun 12, 1995",12,5,0,4.75,0.43,3.83,0.58,2.82,0.47,0.75,0.3
Kyoji Horiguchi,162.6,160.0,Orthodox,"Oct 12, 1990",36,5,0,3.77,0.47,2.13,0.63,1.61,0.4,0.61,0.1
Kyung Ho Kang,175.3,185.4,Orthodox,"Sep 09, 1987",19,11,0,3.13,0.47,3.32,0.54,1.97,0.5,0.68,0.8
Lance Gibson Jr.,175.3,182.9,Switch,"Feb 02, 1995",10,2,0,2.4,0.45,4.24,0.56,1.67,0.66,0.75,0.0
Lando Vannata,175.3,180.3,Orthodox,"Mar 14, 1992",12,8,2,4.52,0.45,4.71,0.54,1.24,0.36,0.66,0.3
Landon Quinones,175.3,177.8,Southpaw,"Nov 21, 1995",7,3,1,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0
Lauren Murphy,165.1,170.2,Orthodox,"Jul 27, 1983",16,7,0,3.94,0.38,5.19,0.56,1.09,0.24,0.67,0.2
Lawrence Lui,170.2,182.9,Orthodox,"Aug 04, 1996",8,1,0,3.72,0.39,3.32,0.6,5.3,0.4,1.0,0.0
Leon Edwards,188.0,188.0,Southpaw,"Aug 25, 1991",22,6,0,2.6,0.54,2.44,0.52,1.25,0.37,0.63,0.4
Lerone Murphy,175.3,185.4,Orthodox,"Jul 22, 1991",17,1,1,4.34,0.51,2.65,0.6,1.2,0.54,0.44,0.5
Lerryan Douglas,175.3,182.9,Orthodox,"Apr 27, 1995",14,5,0,8.67,0.64,4.82,0.63,0.0,0.0,0.0,0.0
Li Jingliang,182.9,180.3,Orthodox,"Mar 20, 1988",19,9,0,4.46,0.42,3.95,0.56,1.19,0.41,0.6,0.0
Liang Na,165.1,170.2,Orthodox,"Jul 27, 1996",19,8,0,1.99,0.42,3.95,0.36,3.6,0.58,0.25,0.5
Lina Lansberg,170.2,165.1,Orthodox,"Mar 13, 1982",10,8,0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1
Loik Radzhabov,180.3,175.3,Orthodox,"Sep 17, 1990",18,6,1,2.89,0.44,3.76,0.46,4.65,0.57,0.42,0.0
Loma Lookboonmee,154.9,154.9,Orthodox,"Jan 18, 1996",10,4,0,3.67,0.55,2.52,0.53,1.81,0.5,0.68,0.1
Lone'er Kavanagh,167.6,170.2,Orthodox,"Jun 09, 1999",10,1,0,4.13,0.48,3.49,0.56,1.12,0.45,0.94,0.2
Loopy Godinez,157.5,154.9,Orthodox,"Sep 06, 1993",14,6,0,4.43,0.49,3.94,0.62,2.99,0.42,0.76,0.8
Losene Keita,170.2,182.9,Orthodox,"Dec 30, 1997",16,2,0,3.47,0.43,4.47,0.62,0.0,0.0,1.0,0.0
Louie Sutherland,190.5,193.0,Orthodox,"Feb 08, 1994",10,5,0,3.75,0.52,7.5,0.22,4.69,0.33,0.0,0.0
Luan Lacerda,170.2,180.3,Orthodox,"Jan 07, 1993",13,4,0,4.06,0.42,6.15,0.49,2.82,0.39,0.66,0.6
Luana Carolina,167.6,175.3,Orthodox,"Jun 11, 1993",11,5,0,4.65,0.51,3.46,0.51,0.3,0.37,0.68,0.6
Luana Pinheiro,157.5,157.5,Orthodox,"Nov 18, 1992",11,5,0,3.29,0.39,4.06,0.6,2.33,0.37,0.71,0.2
Luana Santos,167.6,170.2,Orthodox,"Apr 16, 2000",10,2,0,2.99,0.52,2.93,0.63,2.17,0.47,0.85,1.2
Lucas Alexander,180.3,185.4,Orthodox,"Jul 28, 1995",8,5,0,4.69,0.57,2.87,0.56,0.0,0.0,0.6,0.0
Lucas Almeida,180.3,180.3,Orthodox,"Jan 31, 1991",15,5,0,4.94,0.39,5.36,0.44,0.0,0.0,0.53,0.0
Lucas Rocha,160.0,162.6,Orthodox,"Aug 12, 2000",18,2,0,5.09,0.49,3.67,0.56,1.64,0.75,0.76,0.0
Lucie Pudilova,172.7,170.2,Orthodox,"Jun 13, 1994",14,10,0,3.6,0.37,4.07,0.5,0.7,0.31,0.67,0.6
Ludovit Klein,170.2,182.9,Southpaw,"Feb 22, 1995",24,5,1,3.76,0.53,3.48,0.53,1.37,0.51,0.76,0.0
Luis Gurule,165.1,162.6,Orthodox,"Nov 16, 1993",10,3,0,4.47,0.4,4.74,0.59,0.58,0.14,0.58,0.0
Luis Pajuelo,177.8,175.3,Orthodox,"Dec 18, 1994",8,2,0,6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0
Lukasz Brzeski,190.5,198.1,Orthodox,"May 17, 1992",9,7,1,4.9,0.5,3.65,0.54,0.41,0.33,0.35,0.4
Luke Fernandez,185.4,193.0,Orthodox,"Jun 29, 1995",6,1,0,8.14,0.58,10.17,0.36,0.0,0.0,0.0,0.0
Luke Riley,175.3,175.3,Orthodox,"Jun 30, 1999",13,0,0,5.56,0.57,3.32,0.64,0.0,0.0,0.37,0.0
Mackenzie Dern,162.6,160.0,Orthodox,"Mar 24, 1993",16,5,0,3.47,0.41,3.93,0.51,0.93,0.18,0.37,1.1
Macy Chiasson,180.3,182.9,Orthodox,"Jul 27, 1991",11,6,0,3.21,0.46,2.76,0.44,1.87,0.35,0.62,0.4
Magomed Ankalaev,190.5,190.5,Orthodox,"Jun 02, 1992",21,2,1,3.65,0.52,2.59,0.56,0.79,0.22,0.87,0.0
Magomed Gadzhiyasulov,188.0,190.5,Orthodox,"Nov 04, 1993",9,1,0,2.89,0.49,1.64,0.62,3.67,0.73,0.61,0.0
Maheshate,182.9,180.3,Orthodox,"Dec 01, 1999",10,5,0,3.96,0.31,5.96,0.51,0.0,0.0,0.47,0.0
Mairon Santos,170.2,182.9,Orthodox,"Jun 10, 2000",18,1,0,3.33,0.48,2.24,0.65,0.0,0.0,0.69,0.0
Makhmud Muradov,188.0,190.5,Orthodox,"Feb 08, 1990",26,8,0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2
Makwan Amirkhani,177.8,182.9,Southpaw,"Nov 08, 1988",17,9,0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1
Malcolm Gordon,170.2,180.3,Switch,"May 19, 1990",14,8,0,2.5,0.45,2.0,0.43,1.72,0.35,0.26,1.0
Malcolm Wellmaker,177.8,180.3,Switch,"Jun 04, 1994",10,1,0,5.8,0.56,5.39,0.52,0.0,0.0,0.57,0.0
Mana Martinez,177.8,177.8,Orthodox,"Mar 25, 1996",10,4,0,4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5
Mandy Bohm,170.2,180.3,Orthodox,"Jul 30, 1989",8,2,0,2.51,0.45,3.24,0.6,0.72,0.18,0.75,0.7
Manel Kape,165.1,172.7,Southpaw,"Nov 14, 1993",22,7,0,5.04,0.56,4.08,0.57,0.4,0.3,0.81,0.3
Manoel Sousa,175.3,177.8,Orthodox,"Jun 04, 1997",14,1,0,4.15,0.45,3.71,0.51,0.0,0.0,0.6,1.6
Manolo Zecchini,172.7,172.7,Orthodox,"Oct 22, 1996",11,5,0,3.72,0.28,12.82,0.45,0.0,0.0,0.0,0.0
Manon Fiorot,170.2,165.1,Orthodox,"Feb 17, 1990",13,2,0,5.66,0.42,3.58,0.66,1.05,0.29,0.87,0.0
Mansur Abdul-Malik,188.0,203.2,Orthodox,"Oct 07, 1997",9,1,1,3.28,0.44,4.49,0.46,1.65,0.41,0.83,0.3
Mantas Kondratavicius,188.0,190.5,Orthodox,"Jul 17, 1999",9,1,0,4.97,0.65,1.3,0.57,2.8,0.6,0.91,0.9
Manuel Torres,177.8,185.4,Switch,"Mar 25, 1995",17,3,0,7.29,0.59,4.08,0.54,1.72,0.66,0.9,0.9
MarQuel Mederos,177.8,175.3,Orthodox,"Nov 30, 1996",11,1,1,5.46,0.58,4.58,0.52,0.23,0.08,0.82,0.0
Marc Diakiese,177.8,185.4,Orthodox,"Mar 16, 1993",17,7,0,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0.0
Marc-Andre Barriault,185.4,188.0,Orthodox,"Feb 18, 1990",17,11,0,5.65,0.47,5.94,0.49,0.34,0.28,0.68,0.1
Marcin Prachnio,190.5,185.4,Orthodox,"Jul 14, 1988",17,9,0,5.52,0.54,3.15,0.54,0.14,0.2,0.53,0.0
Marcin Tybura,190.5,198.1,Orthodox,"Nov 09, 1985",27,11,0,3.56,0.48,3.26,0.55,1.3,0.33,0.7,0.1
Marco Tulio,182.9,188.0,Orthodox,"Jun 13, 1994",14,2,0,6.69,0.58,2.58,0.59,1.42,0.26,0.0,0.3
Marcos Rogerio de Lima,185.4,190.5,Orthodox,"Jun 25, 1985",22,10,1,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5
Marcus Buchecha,188.0,195.6,Orthodox,"Jan 08, 1990",5,2,1,1.7,0.49,2.17,0.51,2.0,0.16,0.0,0.0
Marcus McGhee,172.7,175.3,Orthodox,"May 07, 1990",10,2,0,5.5,0.45,3.64,0.57,0.31,0.14,0.9,0.3
Marek Bujlo,193.0,195.6,Orthodox,"Oct 10, 1992",6,1,0,2.07,0.38,3.27,0.37,0.0,0.0,0.0,0.0
Maria Oliveira,167.6,175.3,Orthodox,"Dec 12, 1996",13,7,0,5.03,0.38,5.76,0.44,0.95,0.44,0.47,0.0
Marina Rodriguez,167.6,165.1,Orthodox,"Apr 29, 1987",17,6,2,4.51,0.46,3.01,0.55,0.27,0.5,0.61,0.3
Mario Bautista,175.3,175.3,Switch,"Jul 01, 1993",17,3,0,5.3,0.48,3.98,0.54,1.91,0.38,0.55,0.8
Mario Pinto,195.6,200.7,Orthodox,"Mar 14, 1998",12,0,0,2.85,0.69,1.93,0.58,2.38,0.26,1.0,0.9
Mariya Agapova,167.6,172.7,Southpaw,"Apr 07, 1997",10,5,0,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8
Mark Choinski,172.7,175.3,Orthodox,"Oct 22, 1995",8,1,0,3.87,0.5,7.33,0.33,2.0,0.18,0.0,0.0
Mark Madsen,172.7,182.9,Orthodox,"Sep 23, 1984",12,2,0,3.56,0.49,3.97,0.52,2.86,0.66,0.62,0.0
Marlon Vera,172.7,177.8,Switch,"Dec 02, 1992",23,12,1,4.18,0.47,5.34,0.5,0.47,0.39,0.71,0.8
Marnic Mann,152.4,162.6,Southpaw,"Mar 05, 1993",6,3,0,1.47,0.41,5.08,0.31,1.9,0.33,0.25,0.4
Martin Buday,193.0,195.6,Orthodox,"Nov 11, 1991",16,2,0,4.39,0.53,4.49,0.55,0.15,0.2,0.93,0.1
Marvin Vettori,182.9,188.0,Southpaw,"Sep 20, 1993",19,10,1,4.74,0.45,4.55,0.56,1.41,0.43,0.68,0.4
Marwan Rahiki,172.7,182.9,Orthodox,"May 10, 2002",8,0,0,7.73,0.52,6.33,0.56,0.0,0.0,1.0,0.9
Maryna Moroz,170.2,170.2,Orthodox,"Sep 08, 1991",11,6,0,4.42,0.33,4.89,0.51,0.7,0.24,0.42,0.6
Mason Jones,177.8,188.0,Orthodox,"Apr 26, 1995",18,2,0,5.98,0.42,4.45,0.5,3.48,0.55,0.73,0.2
Mateus Mendonca,167.6,180.3,Orthodox,"Jan 17, 1999",10,3,0,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4
Mateusz Gamrot,177.8,177.8,Southpaw,"Dec 11, 1990",26,4,0,3.21,0.51,2.81,0.6,5.22,0.38,0.83,0.2
Mateusz Rebecki,170.2,167.6,Southpaw,"Oct 03, 1992",20,4,0,5.21,0.46,4.69,0.53,3.38,0.52,0.5,0.5
Matheus Camilo,177.8,175.3,Orthodox,"Jan 02, 2001",10,3,0,2.19,0.43,3.25,0.64,4.43,0.53,0.0,0.6
Matheus Nicolau,167.6,167.6,Orthodox,"Jan 06, 1993",19,6,1,3.31,0.51,2.98,0.65,1.22,0.43,0.9,0.8
